,Year,What is your level of English?,What is your level of programming experience?,What is your level of Python programming experience?,What is your level of machine learning (/deep learning) experience?,What is your attitude towards mathematics?
259,2024,3,4,2,1,1
202,2023,2,2,2,2,0
172,2022,3,4,2,2,1
32,2020,2,4,1,1,0
110,2021,3,2,0,1,1
71,2021,4,4,3,3,0
184,2023,2,3,3,1,2
242,2024,3,4,2,3,1
91,2021,4,4,4,4,1
195,2023,3,4,2,3,1
204,2023,4,4,2,3,2
15,2020,2,2,0,0,0
97,2021,2,4,0,0,0
193,2023,4,4,4,4,2
221,2023,5,1,1,0,0
217,2023,4,4,4,1,0
88,2021,3,4,4,3,0
87,2021,3,3,2,3,1
205,2023,4,3,3,3,1
173,2022,4,4,3,3,0
203,2023,3,3,3,1,0
45,2020,4,4,4,5,2
141,2022,4,4,2,3,1
107,2021,4,2,2,1,-1
181,2023,4,4,2,4,2
9,2020,4,4,2,1,0
79,2021,4,4,4,5,1
58,2020,3,4,1,1,1
95,2021,3,3,2,4,2
197,2023,4,3,1,3,2
164,2022,4,4,4,3,0
246,2024,4,4,3,1,-1
255,2024,3,1,2,1,0
38,2020,3,2,3,2,2
126,2022,3,4,3,2,0
108,2021,4,4,3,2,-1
57,2020,5,4,2,3,1
118,2021,4,4,1,3,1
33,2020,3,3,2,2,0
165,2022,3,4,3,3,2
228,2023,5,4,2,3,2
223,2023,4,4,4,4,1
48,2020,3,4,4,2,2
237,2023,3,3,1,1,1
216,2023,4,4,2,3,1
234,2023,4,4,3,3,0
248,2024,5,4,3,2,-1
42,2020,4,4,1,1,1
10,2020,4,2,1,1,2
210,2023,4,4,1,1,0
251,2024,3,4,3,1,0
102,2021,4,4,2,3,1
143,2022,4,4,2,3,1
201,2023,4,4,3,3,0
99,2021,3,4,3,4,2
208,2023,3,4,2,3,0
61,2020,3,0,0,0,1
207,2023,4,2,1,1,0
83,2021,3,3,3,3,1
20,2020,3,4,3,1,2
142,2022,4,2,2,3,1
43,2020,3,2,2,3,2
219,2023,3,3,3,3,2
136,2022,4,4,4,3,1
231,2023,4,4,2,1,0
170,2022,4,4,3,3,1
215,2023,3,4,2,3,0
131,2022,3,4,0,1,0
